child	file	int	target	on	off	corr	pron	out
c81	180101_0036S12_ch1	52	kani	239.042	239.992	0	keni	pairs/kani_c81_1.wav
c81	180101_0036S12_ch1	54	kani	243.348	244.145	0	ken	pairs/kani_c81_2.wav
c81	180101_0036S12_ch1	55	kani	244.145	244.819	1		pairs/kani_c81_3.wav
c81	180101_0036S12_ch1	38	kpu	194.732	195.375	0		pairs/kpu_c81_1.wav
c81	180101_0036S12_ch1	36	lv_e	189.384	190.089	0	wi	pairs/lv_e_c81_1.wav
c81	180101_0036S12_ch1	67	meyadi	276.687	278.281	1		pairs/meyadi_c81_1.wav
c81	180101_0036S12_ch1	73	mituye	291.140	292.489	1		pairs/mituye_c81_1.wav
c81	180101_0036S12_ch1	61	nademo	260.951	262.514	0	nade	pairs/nademo_c81_1.wav
c81	180101_0036S12_ch1	75	nayeki	296.238	297.499	1		pairs/nayeki_c81_1.wav
c81	180101_0036S12_ch1	50	noki	226.235	227.399	0	noti	pairs/noki_c81_1.wav
c81	180101_0036S12_ch1	8	nopimade	109.333	110.758	1		pairs/nopimade_c81_1.wav
c81	180101_0036S12_ch1	6	poni	100.749	101.378	1		pairs/poni_c81_1.wav
c81	180101_0036S12_ch1	77	todiwuma	302.085	304.633	1		pairs/todiwuma_c81_1.wav
c81	180101_0036S12_ch1	79	todiwuma	310.625	312.177	1		pairs/todiwuma_c81_2.wav
c81	180101_0036S12_ch1	57	towi	248.908	249.828	0	tuwi	pairs/towi_c81_1.wav
c81	180101_0036S12_ch1	69	tumowe	282.043	283.223	0	tomowe	pairs/tumowe_c81_1.wav
c81	180101_0036S12_ch1	71	tumowe	286.252	287.355	1		pairs/tumowe_c81_2.wav
c81	180101_0036S12_ch1	2	wi	92.888	93.302	1		pairs/wi_c81_1.wav
c81	180101_0036S12_ch1	4	wi	95.953	96.320	1		pairs/wi_c81_2.wav
c81	180101_0036S12_ch1	10	yi	114.084	115.034	1		pairs/yi_c81_1.wav
c82	180101_0037S12_ch1	68	dimope	159.986	161.190	1		pairs/dimope_c82_1.wav
c82	180101_0037S12_ch1	87	diponate	204.513	206.018	1		pairs/diponate_c82_1.wav
c82	180101_0037S12_ch1	14	dpa	37.301	37.903	1		pairs/dpa_c82_1.wav
c82	180101_0037S12_ch1	16	dpa	41.180	41.782	1		pairs/dpa_c82_2.wav
c82	180101_0037S12_ch1	24	dpa2	59.980	60.883	1		pairs/dpa2_c82_1.wav
c82	180101_0037S12_ch1	26	dpa2	63.826	64.662	1		pairs/dpa2_c82_2.wav
c82	180101_0037S12_ch1	50	dpe	115.370	116.105	1		pairs/dpe_c82_1.wav
c82	180101_0037S12_ch1	52	dpe	120.319	120.988	1		pairs/dpe_c82_2.wav
c82	180101_0037S12_ch1	30	dpu	71.918	72.821	0	dîdî	pairs/dpu_c82_1.wav
c82	180101_0037S12_ch1	32	dpu	75.338	75.906	0	du	pairs/dpu_c82_2.wav
c82	180101_0037S12_ch1	42	gh_aa	97.040	97.977	0	gh:áá	pairs/gh_aa_c82_1.wav
c82	180101_0037S12_ch1	44	gh_aa	101.756	102.559	1		pairs/gh_aa_c82_2.wav
c82	180101_0037S12_ch1	58	kamo	136.681	137.584	1		pairs/kamo_c82_1.wav
c82	180101_0037S12_ch1	60	kamo	141.003	142.074	1		pairs/kamo_c82_2.wav
c82	180101_0037S12_ch1	46	kp_aa	106.212	106.982	1		pairs/kp_aa_c82_1.wav
c82	180101_0037S12_ch1	28	lva	67.871	68.640	1		pairs/lva_c82_1.wav
c82	180101_0037S12_ch1	48	lvi	110.393	111.229	1		pairs/lvi_c82_1.wav
c82	180101_0037S12_ch1	70	nayeki	164.334	165.538	1		pairs/nayeki_c82_1.wav
c82	180101_0037S12_ch1	54	nomi	128.015	129.219	1		pairs/nomi_c82_1.wav
c82	180101_0037S12_ch1	56	nomi	132.567	133.838	1		pairs/nomi_c82_2.wav
c82	180101_0037S12_ch1	8	nopimade	24.197	25.368	1		pairs/nopimade_c82_1.wav
c82	180101_0037S12_ch1	76	nuyedi	177.891	179.262	1		pairs/nuyedi_c82_1.wav
c82	180101_0037S12_ch1	78	nuyedi	183.137	184.374	1		pairs/nuyedi_c82_2.wav
c82	180101_0037S12_ch1	4	poni	12.960	13.997	1		pairs/poni_c82_1.wav
c82	180101_0037S12_ch1	6	poni	18.779	19.749	1		pairs/poni_c82_2.wav
c82	180101_0037S12_ch1	74	tiwune	173.276	174.379	0	pitune	pairs/tiwune_c82_1.wav
c82	180101_0037S12_ch1	80	todiwuma	188.154	189.425	1		pairs/todiwuma_c82_1.wav
c82	180101_0037S12_ch1	82	todiwuma	193.338	193.839	0	to	pairs/todiwuma_c82_2.wav
c82	180101_0037S12_ch1	83	todiwuma	193.839	195.344	1		pairs/todiwuma_c82_3.wav
c82	180101_0037S12_ch1	85	todiwuma	198.761	200.165	1		pairs/todiwuma_c82_4.wav
c82	180101_0037S12_ch1	62	towi	145.686	146.689	0	tuwi	pairs/towi_c82_1.wav
c82	180101_0037S12_ch1	18	tp_a	46.666	47.502	0	tpa	pairs/tp_a_c82_1.wav
c82	180101_0037S12_ch1	20	tp_a	52.351	52.953	0	tpa	pairs/tp_a_c82_2.wav
c82	180101_0037S12_ch1	22	tp_a	56.535	57.204	1		pairs/tp_a_c82_3.wav
c82	180101_0037S12_ch1	34	tpe	79.351	80.087	1		pairs/tpe_c82_1.wav
c82	180101_0037S12_ch1	36	tpe	83.411	84.147	1		pairs/tpe_c82_2.wav
c82	180101_0037S12_ch1	38	tpe	87.057	87.793	0	tp:a	pairs/tpe_c82_3.wav
c82	180101_0037S12_ch1	40	tpe	91.915	92.517	0	tp:a	pairs/tpe_c82_4.wav
c82	180101_0037S12_ch1	72	tumowe	168.582	169.685	1		pairs/tumowe_c82_1.wav
c82	180101_0037S12_ch1	64	tupa	150.494	151.397	1		pairs/tupa_c82_1.wav
c82	180101_0037S12_ch1	2	wi	6.940	8.211	1		pairs/wi_c82_1.wav
c82	180101_0037S12_ch1	66	widone	155.377	156.347	1		pairs/widone_c82_1.wav
c82	180101_0037S12_ch1	10	yi	28.639	29.207	0	yá	pairs/yi_c82_1.wav
c82	180101_0037S12_ch1	12	yi	31.983	32.786	0	ya	pairs/yi_c82_2.wav
