"V1"	"V2"
"o"	"u"
"o"	"u"
"o"	"u"
"p"	"d"
"p"	"ch"
"p"	"d"
"p"	"ch"
"p"	"ch"
"p"	"d"
"p"	"f"
"tp"	"d"
"tp"	"d"
"tp"	"ch"
"tp"	"d"
"tp"	"d"
"tp"	"d"
"tp"	"ch"
"tp"	"ch"
"tp"	"kp"
"tp"	"ch"
"tp"	"dp"
"tp"	"ch"
"tp"	"d"
"tp"	"p"
"tp"	"d"
"tp"	"ch"
"tp"	"ch"
"tp"	"ch"
"tp"	"ch"
"tp"	"ch"
"tp"	"ch"
"tp"	"ch"
"tp"	"ch"
"tp"	"ch"
"tp"	"d"
"tp"	"ch"
"tp"	"ch"
"tp"	"dp"
"tp"	"ch"
"tp"	"dp"
"tp"	"ch"
"tp"	"ch"
"u"	"ó"
"u"	"ó"
"u"	"ó"
"u"	"ó"
"u"	"î"
"u"	"ê"
"u"	"ê"
"u"	"ê"
"u"	"ê"
"u"	"ê"
"u"	"ê"
"u"	"e"
"u"	"ê"
"u"	"ê"
"u"	"ê"
"u"	"ê"
"u"	"ê"
"u"	"ê"
"u"	"ê"
"u"	"e"
"u"	"o"
"u"	"i"
"u"	"i"
"w"	"e"
"w"	"k"
"w"	"h"
"w"	"k"
"w"	"g"
"w"	"k"
"w"	"mb"
"w"	"g"
"w"	"n"
"w"	"p"
"w"	"p"
"y"	"d"
