"target"	"realization"	"target_word"	"mispronunciation"	"age"	"target_ortho"	"target_phono"	"tokid"
"d"	"ch"	"diyeto"	"tiyeto"	4.97881066302119	"diyeto"	"ṭijɛtɔ"	"diyeto 35"
"d"	"ch"	"diyeto"	"tiyeto"	4.97881066302119	"diyeto"	"ṭijɛtɔ"	"diyeto 20"
"d"	"p"	"diyeto"	"pieto"	7.60628844839371	"diyeto"	"ṭijɛtɔ"	"diyeto 37"
"d"	"p"	"diyeto"	"piyeto"	5.64046479835954	"diyeto"	"ṭijɛtɔ"	"diyeto 12"
"d"	"dp"	"diyeto"	"/8"	3.91797676008202	"diyeto"	"ṭijɛtɔ"	"diyeto 8"
"i"	"î"	"diyeto"	"/8"	3.91797676008202	"diyeto"	"ṭijɛtɔ"	"diyeto 8"
"d"	"ch"	"diyeto"	"tiyeto"	4.97881066302119	"diyeto"	"ṭijɛtɔ"	"diyeto 5"
"d"	"ch"	"diyeto"	"tiyeto"	5.09637730690362	"diyeto"	"ṭijɛtɔ"	"diyeto 4"
"d"	"ch"	"diyeto"	"tiyoto"	5.79904306220096	"diyeto"	"ṭijɛtɔ"	"diyeto 6"
"e"	"o"	"diyeto"	"tiyoto"	5.79904306220096	"diyeto"	"ṭijɛtɔ"	"diyeto 6"
"d"	"ch"	"diyeto"	"tiyeto"	5.27136021872864	"diyeto"	"ṭijɛtɔ"	"diyeto 24"
"d"	"ch"	"diyeto"	"tiyeto"	9.09911141490089	"diyeto"	"ṭijɛtɔ"	"diyeto 9"
"dp"	"tp"	"/3"	":a"	6	"dp:a"	"ṭp̃æ"	"dp_a 17"
":a"	"a"	"/3"	":a"	6	"dp:a"	"ṭp̃æ"	"dp_a 17"
"dp"	"p"	"/3"	"pa"	11.0321257689679	"dp:a"	"ṭp̃æ"	"dp_a 8"
":a"	"a"	"/3"	"pa"	11.0321257689679	"dp:a"	"ṭp̃æ"	"dp_a 8"
"dp"	"tp"	"/3"	":a"	7.81134654818865	"dp:a"	"ṭp̃æ"	"dp_a 15"
":a"	"a"	"/3"	":a"	7.81134654818865	"dp:a"	"ṭp̃æ"	"dp_a 15"
"dp"	"p"	"/3"	"pa"	9.09911141490089	"dp:a"	"ṭp̃æ"	"dp_a 6"
":a"	"a"	"/3"	"pa"	9.09911141490089	"dp:a"	"ṭp̃æ"	"dp_a 6"
"dp"	"ch"	"/3"	"ta"	NA	"dp:a"	"ṭp̃æ"	"dp_a 27"
":a"	"a"	"/3"	"ta"	NA	"dp:a"	"ṭp̃æ"	"dp_a 27"
"dp"	"p"	"/3"	"pa"	6.37047163362953	"dp:a"	"ṭp̃æ"	"dp_a 11"
":a"	"a"	"/3"	"pa"	6.37047163362953	"dp:a"	"ṭp̃æ"	"dp_a 11"
"dp"	"ch"	"/3"	"ta"	7.60628844839371	"dp:a"	"ṭp̃æ"	"dp_a 22"
":a"	"a"	"/3"	"ta"	7.60628844839371	"dp:a"	"ṭp̃æ"	"dp_a 22"
"dp"	"tp"	"/3"	":i"	5.64046479835954	"dp:a"	"ṭp̃æ"	"dp_a 25"
":a"	"i"	"/3"	":i"	5.64046479835954	"dp:a"	"ṭp̃æ"	"dp_a 25"
"dp"	"p"	"/3"	"pa"	6	"dp:a"	"ṭp̃æ"	"dp_a 24"
":a"	"a"	"/3"	"pa"	6	"dp:a"	"ṭp̃æ"	"dp_a 24"
"dp"	"tp"	"/3"	":a"	4.97881066302119	"dp:a"	"ṭp̃æ"	"dp_a 10"
":a"	"a"	"/3"	":a"	4.97881066302119	"dp:a"	"ṭp̃æ"	"dp_a 10"
"dp"	"tp"	"/3"	":a"	5.27136021872864	"dp:a"	"ṭp̃æ"	"dp_a 12"
":a"	"a"	"/3"	":a"	5.27136021872864	"dp:a"	"ṭp̃æ"	"dp_a 12"
"dp"	"p"	"/3"	"pa"	7.37115516062885	"dp:a"	"ṭp̃æ"	"dp_a 9"
":a"	"a"	"/3"	"pa"	7.37115516062885	"dp:a"	"ṭp̃æ"	"dp_a 9"
"dp"	"p"	"/3"	"pa"	5.09637730690362	"dp:a"	"ṭp̃æ"	"dp_a 20"
":a"	"a"	"/3"	"pa"	5.09637730690362	"dp:a"	"ṭp̃æ"	"dp_a 20"
"dp"	"p"	"/3"	"pa"	9.09911141490089	"dp:a"	"ṭp̃æ"	"dp_a 14"
":a"	"a"	"/3"	"pa"	9.09911141490089	"dp:a"	"ṭp̃æ"	"dp_a 14"
"dp"	"tp"	"/3"	":a"	7.35475051264525	"dp:a"	"ṭp̃æ"	"dp_a 2"
":a"	"a"	"/3"	":a"	7.35475051264525	"dp:a"	"ṭp̃æ"	"dp_a 2"
"dp"	"p"	"/3"	"pa"	7.60628844839371	"dp:a"	"ṭp̃æ"	"dp_a 21"
":a"	"a"	"/3"	"pa"	7.60628844839371	"dp:a"	"ṭp̃æ"	"dp_a 21"
"dp"	"p"	"/3"	"pa"	7.60628844839371	"dp:a"	"ṭp̃æ"	"dp_a 7"
":a"	"a"	"/3"	"pa"	7.60628844839371	"dp:a"	"ṭp̃æ"	"dp_a 7"
"dp"	"p"	"/3"	"pe"	4.80109364319891	"dp:a"	"ṭp̃æ"	"dp_a 5"
":a"	"e"	"/3"	"pe"	4.80109364319891	"dp:a"	"ṭp̃æ"	"dp_a 5"
"dp"	"p"	"/3"	"pa"	9.09911141490089	"dp:a"	"ṭp̃æ"	"dp_a 28"
":a"	"a"	"/3"	"pa"	9.09911141490089	"dp:a"	"ṭp̃æ"	"dp_a 28"
"dp"	"tp"	"/3"	":3"	6.10526315789474	"dp:a"	"ṭp̃æ"	"dp_a 23"
"dp"	"p"	"/3"	"pa"	7.60628844839371	"dp:a"	"ṭp̃æ"	"dp_a 13"
":a"	"a"	"/3"	"pa"	7.60628844839371	"dp:a"	"ṭp̃æ"	"dp_a 13"
"dp"	"ch"	"/a"	"tata"	7.12781954887218	"dpa"	"ṭpæ"	"dpa 10"
"dp"	"ch"	"/a"	"t0"	7.12781954887218	"dpa"	"ṭpæ"	"dpa 11"
"a"	"â"	"/a"	"t0"	7.12781954887218	"dpa"	"ṭpæ"	"dpa 11"
"dp"	"ch"	"/a"	"te"	5.64046479835954	"dpa"	"ṭpæ"	"dpa 7"
"a"	"e"	"/a"	"te"	5.64046479835954	"dpa"	"ṭpæ"	"dpa 7"
"dp"	"tp"	"/a"	":a"	7.94258373205742	"dpa"	"ṭpæ"	"dpa 59"
"dp"	"tp"	"/a"	":a"	5.79904306220096	"dpa"	"ṭpæ"	"dpa 22"
"dp"	"p"	"/a"	"pa"	6	"dpa"	"ṭpæ"	"dpa 15"
"dp"	"ch"	"/a"	"ta"	5.79904306220096	"dpa"	"ṭpæ"	"dpa 28"
"dp"	"p"	"/a"	"pa"	7.37115516062885	"dpa"	"ṭpæ"	"dpa 53"
"dp"	"tp"	"/a"	":a"	10.1982228298018	"dpa"	"ṭpæ"	"dpa 43"
"dp"	"ch"	"/a"	"tata"	7.81134654818865	"dpa"	"ṭpæ"	"dpa 4"
"dp"	"p"	"/a"	"pa"	5.19480519480519	"dpa"	"ṭpæ"	"dpa 30"
"dp"	"ch"	"/a"	"ta"	7.47505126452495	"dpa"	"ṭpæ"	"dpa 54"
"dp"	"d"	"/a"	"d5"	3.91797676008202	"dpa"	"ṭpæ"	"dpa 31"
"a"	":â"	"/a"	"d5"	3.91797676008202	"dpa"	"ṭpæ"	"dpa 31"
"dp"	"ch"	"/a"	"ta"	7.12781954887218	"dpa"	"ṭpæ"	"dpa 52"
"dp"	"p"	"/a"	"pa"	7.60628844839371	"dpa"	"ṭpæ"	"dpa 18"
"dp"	"p"	"/a"	"pa"	7.20710868079289	"dpa"	"ṭpæ"	"dpa 21"
"dp"	"p"	"/a"	"pa"	6	"dpa"	"ṭpæ"	"dpa 16"
"dp"	"ly"	"/a"	"xa"	10.1982228298018	"dpa"	"ṭpæ"	"dpa 19"
"dp"	"p"	"/a"	"p7"	4.80109364319891	"dpa"	"ṭpæ"	"dpa 17"
"a"	":o"	"/a"	"p7"	4.80109364319891	"dpa"	"ṭpæ"	"dpa 17"
"dp"	"tp"	"/a"	":8"	7.28366370471634	"dpa"	"ṭpæ"	"dpa 32"
"a"	"î"	"/a"	":8"	7.28366370471634	"dpa"	"ṭpæ"	"dpa 32"
"dp"	"p"	"/a"	"pa"	6.37047163362953	"dpa"	"ṭpæ"	"dpa 23"
"dp"	"tp"	"/a"	":a"	8.6015037593985	"dpa"	"ṭpæ"	"dpa 50"
